[2025-05-13 18:04:08] Starting UE client to RRH (10.0.0.100)
   [2025-05-13 18:08:52] Previous Value: 279, New Value: 280, vBBU: vbbu1
   [2025-05-13 18:08:53] Previous Value: 280, New Value: 281, vBBU: vbbu1
   [2025-05-13 18:08:54] Previous Value: 281, New Value: 282, vBBU: vbbu1
   [2025-05-13 18:08:55] Previous Value: 282, New Value: 283, vBBU: vbbu1
   [2025-05-13 18:08:56] Previous Value: 283, New Value: 284, vBBU: vbbu1
   [2025-05-13 18:08:57] Previous Value: 284, New Value: 285, vBBU: vbbu1
   [2025-05-13 18:08:58] Previous Value: 285, New Value: 286, vBBU: vbbu1
   [2025-05-13 18:08:59] Previous Value: 286, New Value: 287, vBBU: vbbu1
   [2025-05-13 18:09:00] Previous Value: 287, New Value: 288, vBBU: vbbu1
   [2025-05-13 18:09:01] Previous Value: 288, New Value: 289, vBBU: vbbu1
   [2025-05-13 18:09:02] Previous Value: 289, New Value: 290, vBBU: vbbu1
   [2025-05-13 18:09:03] Previous Value: 290, New Value: 291, vBBU: vbbu1
   [2025-05-13 18:09:04] Previous Value: 291, New Value: 292, vBBU: vbbu1
   [2025-05-13 18:09:05] Previous Value: 292, New Value: 293, vBBU: vbbu1
   [2025-05-13 18:09:06] Previous Value: 293, New Value: 294, vBBU: vbbu1
   [2025-05-13 18:09:07] Previous Value: 294, New Value: 295, vBBU: vbbu1
   [2025-05-13 18:09:08] Previous Value: 295, New Value: 296, vBBU: vbbu1
   [2025-05-13 18:09:09] Previous Value: 296, New Value: 297, vBBU: vbbu1
   [2025-05-13 18:09:10] Previous Value: 297, New Value: 298, vBBU: vbbu1
   [2025-05-13 18:09:11] Previous Value: 298, New Value: 299, vBBU: vbbu1
   [2025-05-13 18:09:12] Previous Value: 299, New Value: 300, vBBU: vbbu1
   [2025-05-13 18:09:13] Previous Value: 300, New Value: 301, vBBU: vbbu1
   [2025-05-13 18:09:14] Previous Value: 301, New Value: 302, vBBU: vbbu1
   [2025-05-13 18:09:15] Previous Value: 302, New Value: 303, vBBU: vbbu1
   [2025-05-13 18:09:16] Previous Value: 303, New Value: 304, vBBU: vbbu1
   [2025-05-13 18:09:17] Previous Value: 304, New Value: 305, vBBU: vbbu1
   [2025-05-13 18:09:18] Previous Value: 305, New Value: 306, vBBU: vbbu1
   [2025-05-13 18:09:19] Previous Value: 306, New Value: 307, vBBU: vbbu1
